name,slug,% of GDP,date_of_information,ranking,region
"Japan","japan","216.2","2022",1,"East and Southeast Asia"
"Greece","greece","190.6","2023",2,"Europe"
"Singapore","singapore","177","2023",3,"East and Southeast Asia"
"Lebanon","lebanon","146.8","2017",4,"Middle East"
"United Kingdom","united-kingdom","138.2","2023",5,"Europe"
"Barbados","barbados","133.2","2016",6,"Central America and the Caribbean"
"Italy","italy","131.8","2017",7,"Europe"
"Eritrea","eritrea","131.2","2017",8,"Africa"
"Congo, Republic of the","congo-republic-of-the","130.8","2017",9,"Africa"
"Cabo Verde","cabo-verde","125.8","2017",10,"Africa"
"Portugal","portugal","125.7","2017",11,"Europe"
"Sudan","sudan","121.6","2017",12,"Africa"
"United States","united-states","114.8","2023",13,"North America"
"Bahrain","bahrain","111.6","2020",14,"Middle East"
"Bhutan","bhutan","111","2020",15,"South Asia"
"Spain","spain","107.3","2023",16,"Europe"
"Jamaica","jamaica","106.3","2020",17,"Central America and the Caribbean"
"San Marino","san-marino","103.2","2022",18,"Europe"
"Jordan","jordan","103.1","2023",19,"Middle East"
"Egypt","egypt","103","2017",20,"Africa"
"El Salvador","el-salvador","101.7","2023",21,"Central America and the Caribbean"
"Belize","belize","99","2017",22,"Central America and the Caribbean"
"France","france","98.5","2023",23,"Europe"
"Cyprus","cyprus","97.5","2017",24,"Europe"
"Mauritania","mauritania","96.6","2017",25,"Africa"
"Syria","syria","94.8","2017",26,"Middle East"
"Belgium","belgium","92.5","2022",27,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","88.4","2017",28,"Africa"
"Gambia, The","gambia-the","88","2017",29,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","86.8","2017",30,"Central America and the Caribbean"
"Aruba","aruba","86","2017",31,"Central America and the Caribbean"
"Palau","palau","85.2","2019",32,"Australia and Oceania"
"Brazil","brazil","83.7","2023",33,"South America"
"Dominica","dominica","82.7","2017",34,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","82.3","2017",35,"Africa"
"Albania","albania","81.9","2021",36,"Europe"
"Iceland","iceland","81.1","2023",37,"Europe"
"Sri Lanka","sri-lanka","79.1","2017",38,"South Asia"
"Bahamas, The","bahamas-the","78.5","2023",39,"Central America and the Caribbean"
"Austria","austria","78.3","2023",40,"Europe"
"Somalia","somalia","76.7","2017",41,"Africa"
"Mozambique","mozambique","76.6","2022",42,"Africa"
"South Africa","south-africa","76.2","2022",43,"Africa"
"Togo","togo","75.7","2017",44,"Africa"
"Croatia","croatia","75.6","2023",45,"Europe"
"Hungary","hungary","75.5","2022",46,"Europe"
"Yemen","yemen","74.5","2017",47,"Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","73.8","2017",48,"Central America and the Caribbean"
"Slovenia","slovenia","73.6","2017",49,"Europe"
"Israel","israel","72.6","2020",50,"Middle East"
"Colombia","colombia","71.9","2023",51,"South America"
"Ghana","ghana","71.8","2017",52,"Africa"
"Vanuatu","vanuatu","71.7","2023",53,"Australia and Oceania"
"Zambia","zambia","71.4","2021",54,"Africa"
"Costa Rica","costa-rica","71.11","2022",55,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","70.7","2017",56,"Central America and the Caribbean"
"Grenada","grenada","70.4","2017",57,"Central America and the Caribbean"
"Tunisia","tunisia","70.3","2017",58,"Africa"
"Suriname","suriname","69.3","2017",59,"South America"
"Mongolia","mongolia","67.6","2021",60,"East and Southeast Asia"
"Montenegro","montenegro","67.2","2017",61,"Europe"
"Pakistan","pakistan","67","2017",62,"South Asia"
"Morocco","morocco","65.1","2017",63,"Africa"
"Angola","angola","65","2017",64,"Africa"
"Malaysia","malaysia","64.3","2023",65,"East and Southeast Asia"
"Slovakia","slovakia","64.3","2022",66,"Europe"
"Germany","germany","63.9","2017",67,"Europe"
"Sierra Leone","sierra-leone","63.9","2017",68,"Africa"
"Maldives","maldives","63.9","2017",69,"South Asia"
"Laos","laos","63.6","2017",70,"East and Southeast Asia"
"Seychelles","seychelles","63.6","2017",71,"Africa"
"Uruguay","uruguay","63","2023",72,"South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","62.9","2017",73,"Central America and the Caribbean"
"Gabon","gabon","62.7","2017",74,"Africa"
"South Sudan","south-sudan","62.7","2017",75,"Africa"
"Burkina Faso","burkina-faso","62.5","2022",76,"Africa"
"Serbia","serbia","62.5","2017",77,"Europe"
"Canada","canada","62.2","2023",78,"North America"
"Nauru","nauru","62","2017",79,"Australia and Oceania"
"Finland","finland","61.3","2017",80,"Europe"
"Thailand","thailand","61.2","2023",81,"East and Southeast Asia"
"Ukraine","ukraine","58.7","2020",82,"Europe"
"Vietnam","vietnam","58.5","2017",83,"East and Southeast Asia"
"Mauritius","mauritius","58","2019",84,"Africa"
"Australia","australia","58","2022",85,"Australia and Oceania"
"Argentina","argentina","57.6","2017",86,"South America"
"Netherlands","netherlands","56.5","2017",87,"Europe"
"Malawi","malawi","55.6","2022",88,"Africa"
"New Zealand","new-zealand","54.6","2022",89,"Australia and Oceania"
"Benin","benin","54.6","2017",90,"Africa"
"Kenya","kenya","54.2","2017",91,"Africa"
"Guinea-Bissau","guinea-bissau","53.9","2017",92,"Africa"
"Qatar","qatar","53.8","2017",93,"Middle East"
"Virgin Islands","virgin-islands","53.3","2016",94,"Central America and the Caribbean"
"Uganda","uganda","53.1","2023",95,"Africa"
"Central African Republic","central-african-republic","52.9","2017",96,"Africa"
"Chad","chad","52.5","2017",97,"Africa"
"Papua New Guinea","papua-new-guinea","52.4","2023",98,"East and Southeast Asia"
"Korea, South","korea-south","52.3","2023",99,"East and Southeast Asia"
"Guyana","guyana","52.2","2017",100,"South America"
"Tonga","tonga","51.8","FY2016",101,"Australia and Oceania"
"Burundi","burundi","51.7","2017",102,"Africa"
"Puerto Rico","puerto-rico","51.6","2017",103,"Central America and the Caribbean"
"Romania","romania","50.9","2022",104,"Europe"
"Malta","malta","50.7","2017",105,"Europe"
"Poland","poland","50.6","2017",106,"Europe"
"Tajikistan","tajikistan","50.4","2017",107,"Central Asia"
"Samoa","samoa","49.1","2017",108,"Australia and Oceania"
"Bolivia","bolivia","49","2017",109,"South America"
"Fiji","fiji","48.9","2017",110,"Australia and Oceania"
"Senegal","senegal","48.3","2017",111,"Africa"
"Armenia","armenia","48.3","2023",112,"Central Asia"
"Cuba","cuba","47.7","2017",113,"Central America and the Caribbean"
"China","china","47","2017",114,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","47","2017",115,"Africa"
"Oman","oman","46.9","2017",116,"Middle East"
"India","india","46.5","2018",117,"South Asia"
"Ireland","ireland","45.4","2022",118,"Europe"
"Ecuador","ecuador","45.4","2017",119,"South America"
"Indonesia","indonesia","45.34","2022",120,"East and Southeast Asia"
"Niger","niger","45.3","2017",121,"Africa"
