name,debt,region,edu
Japan,216.2,East and Southeast Asia,3.4
Greece,190.6,Europe,4.4
Singapore,177.0,East and Southeast Asia,2.8
Lebanon,146.8,Middle East,1.7
United Kingdom,138.2,Europe,5.5
Barbados,133.2,Central America and the Caribbean,6.5
Italy,131.8,Europe,4.3
"Congo, Republic of the",130.8,Africa,4.5
Cabo Verde,125.8,Africa,7.6
Portugal,125.7,Europe,5.0
United States,114.8,North America,6.1
Bahrain,111.6,Middle East,2.2
Bhutan,111.0,South Asia,7.0
Spain,107.3,Europe,4.6
Jamaica,106.3,Central America and the Caribbean,6.0
San Marino,103.2,Europe,3.4
Jordan,103.1,Middle East,3.2
Egypt,103.0,Africa,2.5
El Salvador,101.7,Central America and the Caribbean,4.1
Belize,99.0,Central America and the Caribbean,8.7
France,98.5,Europe,5.5
Cyprus,97.5,Europe,6.1
Mauritania,96.6,Africa,1.9
Belgium,92.5,Europe,6.7
Sao Tome and Principe,88.4,Africa,5.0
"Gambia, The",88.0,Africa,2.8
Antigua and Barbuda,86.8,Central America and the Caribbean,3.8
Aruba,86.0,Central America and the Caribbean,5.5
Palau,85.2,Australia and Oceania,6.8
Brazil,83.7,South America,6.0
Dominica,82.7,Central America and the Caribbean,5.5
Zimbabwe,82.3,Africa,3.9
Albania,81.9,Europe,3.1
Iceland,81.1,Europe,7.7
Sri Lanka,79.1,South Asia,1.9
"Bahamas, The",78.5,Central America and the Caribbean,2.8
Austria,78.3,Europe,5.1
Somalia,76.7,Africa,0.3
Mozambique,76.6,Africa,6.3
South Africa,76.2,Africa,6.6
Togo,75.7,Africa,4.0
Croatia,75.6,Europe,5.5
Hungary,75.5,Europe,4.8
Saint Vincent and the Grenadines,73.8,Central America and the Caribbean,5.7
Slovenia,73.6,Europe,5.8
Israel,72.6,Middle East,7.1
Colombia,71.9,South America,4.9
Ghana,71.8,Africa,3.9
Vanuatu,71.7,Australia and Oceania,2.2
Zambia,71.4,Africa,3.7
Costa Rica,71.11,Central America and the Caribbean,6.7
Saint Lucia,70.7,Central America and the Caribbean,3.6
Grenada,70.4,Central America and the Caribbean,3.6
Tunisia,70.3,Africa,7.3
Suriname,69.3,South America,5.0
Mongolia,67.6,East and Southeast Asia,4.7
Pakistan,67.0,South Asia,2.4
Morocco,65.1,Africa,6.8
Angola,65.0,Africa,2.4
Malaysia,64.3,East and Southeast Asia,3.9
Slovakia,64.3,Europe,4.6
Germany,63.9,Europe,4.7
Sierra Leone,63.9,Africa,9.1
Maldives,63.9,South Asia,5.8
Laos,63.6,East and Southeast Asia,2.3
Seychelles,63.6,Africa,5.2
Uruguay,63.0,South America,4.6
Saint Kitts and Nevis,62.9,Central America and the Caribbean,2.5
